STUDY_ID	SAMPLE_ID	REST	MAPK8IP2	ATP1A3	RUNDC3A	CDK5R1	TLCD3B
gbm_tcga_pan_can_atlas_2018	TCGA-06-0146-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-12-0827-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0332-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0456-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0389-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0359-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0358-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0876-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0025-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0326-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-12-0615-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0446-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0330-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-14-0812-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0346-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0514-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0085-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0130-01	0.5013	-1.1089	-0.7636	-0.9362	-0.9503	-0.9138
gbm_tcga_pan_can_atlas_2018	TCGA-16-0848-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0168-01	-0.9856	1.6581	0.9306	0.6561	-0.049	-0.2641
gbm_tcga_pan_can_atlas_2018	TCGA-06-0142-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0266-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0290-01	NP	NP	NP	NP	NP	NP
